date,city,value
2020-10-19,北九州市消防局,1
2020-10-26,北九州市消防局,1
2020-11-02,北九州市消防局,3
2020-11-09,北九州市消防局,1
2020-11-16,北九州市消防局,2
2020-11-23,北九州市消防局,1
2020-11-30,北九州市消防局,4
2020-12-07,北九州市消防局,4
2020-12-14,北九州市消防局,5
2020-12-21,北九州市消防局,2
2020-12-28,北九州市消防局,5
2021-01-04,北九州市消防局,5
2021-01-11,北九州市消防局,12
2021-01-18,北九州市消防局,8
2021-01-25,北九州市消防局,8
2021-02-01,北九州市消防局,4
2021-02-08,北九州市消防局,5
2021-02-15,北九州市消防局,20
2021-02-22,北九州市消防局,6
2021-03-01,北九州市消防局,2
2021-03-08,北九州市消防局,5
2021-03-15,北九州市消防局,2
2021-03-22,北九州市消防局,3
2021-03-29,北九州市消防局,2
2021-04-05,北九州市消防局,2
2021-04-12,北九州市消防局,3
2021-04-19,北九州市消防局,3
2021-04-26,北九州市消防局,3
2021-05-03,北九州市消防局,6
2021-05-10,北九州市消防局,9
2021-05-17,北九州市消防局,11
2021-05-24,北九州市消防局,4
2021-05-31,北九州市消防局,4
2021-06-07,北九州市消防局,4
2021-06-14,北九州市消防局,1
2021-06-21,北九州市消防局,2
2021-06-28,北九州市消防局,2
2021-07-05,北九州市消防局,3
2021-07-12,北九州市消防局,3
2021-07-19,北九州市消防局,7
2021-07-26,北九州市消防局,7
2021-08-02,北九州市消防局,9
2021-08-09,北九州市消防局,11
2021-08-16,北九州市消防局,5
2021-08-23,北九州市消防局,7
2021-08-30,北九州市消防局,5
2021-09-06,北九州市消防局,3
2021-09-13,北九州市消防局,7
2021-09-20,北九州市消防局,2
2021-09-27,北九州市消防局,2
2021-10-04,北九州市消防局,6
2021-10-11,北九州市消防局,2
2021-10-18,北九州市消防局,2
2021-10-25,北九州市消防局,2
2021-11-01,北九州市消防局,2
2021-11-08,北九州市消防局,6
2021-11-15,北九州市消防局,1
2021-11-22,北九州市消防局,5
2021-11-29,北九州市消防局,5
2021-12-06,北九州市消防局,4
2021-12-13,北九州市消防局,4
2021-12-20,北九州市消防局,5
2021-12-27,北九州市消防局,4
2022-01-03,北九州市消防局,4
2022-01-10,北九州市消防局,13
2022-01-17,北九州市消防局,32
2022-01-24,北九州市消防局,24
2022-01-31,北九州市消防局,29
2022-02-07,北九州市消防局,95
2022-02-14,北九州市消防局,129
2022-02-21,北九州市消防局,73
2022-02-28,北九州市消防局,26
2022-03-07,北九州市消防局,14
2022-03-14,北九州市消防局,9
2022-03-21,北九州市消防局,7
2022-03-28,北九州市消防局,9
2022-04-04,北九州市消防局,10
2022-04-11,北九州市消防局,12
2022-04-18,北九州市消防局,6
2022-04-25,北九州市消防局,8
2022-05-02,北九州市消防局,8
2022-05-09,北九州市消防局,7
2022-05-16,北九州市消防局,9
2022-05-23,北九州市消防局,10
2022-05-30,北九州市消防局,4
2022-06-06,北九州市消防局,6
2022-06-13,北九州市消防局,10
2022-06-20,北九州市消防局,5
2022-06-27,北九州市消防局,1
2022-07-04,北九州市消防局,8
2022-07-11,北九州市消防局,13
2022-07-18,北九州市消防局,46
