age,count,date,deceased,gender,medical_worker,prefecture,status
UNK,33,2021-05-01,TRUE,U,FALSE,40,1
-64,99,2021-05-02,FALSE,F,FALSE,40,1
65-,259,2021-05-02,FALSE,F,FALSE,40,1
-64,43,2021-05-02,FALSE,M,FALSE,40,1
65-,154,2021-05-02,FALSE,M,FALSE,40,1
UNK,33,2021-05-02,TRUE,U,FALSE,40,1
-64,100,2021-05-03,FALSE,F,FALSE,40,1
-64,8,2021-05-03,FALSE,F,FALSE,40,2
65-,124,2021-05-03,FALSE,F,FALSE,40,1
65-,285,2021-05-03,FALSE,F,FALSE,40,2
-64,48,2021-05-03,FALSE,M,FALSE,40,1
65-,70,2021-05-03,FALSE,M,FALSE,40,1
65-,192,2021-05-03,FALSE,M,FALSE,40,2
UNK,85,2021-05-03,TRUE,U,FALSE,40,1
UNK,3,2021-05-03,TRUE,U,FALSE,40,2
-64,68,2021-05-04,FALSE,F,FALSE,40,1
65-,192,2021-05-04,FALSE,F,FALSE,40,1
-64,28,2021-05-04,FALSE,M,FALSE,40,1
65-,92,2021-05-04,FALSE,M,FALSE,40,1
UNK,102,2021-05-04,TRUE,U,FALSE,40,1
-64,49,2021-05-05,FALSE,F,FALSE,40,1
65-,153,2021-05-05,FALSE,F,FALSE,40,1
-64,9,2021-05-05,FALSE,M,FALSE,40,1
65-,38,2021-05-05,FALSE,M,FALSE,40,1
UNK,64,2021-05-05,TRUE,U,FALSE,40,1
-64,254,2021-05-06,FALSE,F,FALSE,40,1
-64,173,2021-05-06,FALSE,F,FALSE,40,2
65-,880,2021-05-06,FALSE,F,FALSE,40,1
65-,26,2021-05-06,FALSE,F,FALSE,40,2
-64,96,2021-05-06,FALSE,M,FALSE,40,1
-64,70,2021-05-06,FALSE,M,FALSE,40,2
65-,526,2021-05-06,FALSE,M,FALSE,40,1
65-,23,2021-05-06,FALSE,M,FALSE,40,2
UNK,269,2021-05-06,TRUE,U,FALSE,40,1
UNK,2,2021-05-06,TRUE,U,FALSE,40,2
-64,848,2021-05-07,FALSE,F,FALSE,40,1
-64,744,2021-05-07,FALSE,F,FALSE,40,2
65-,503,2021-05-07,FALSE,F,FALSE,40,1
65-,52,2021-05-07,FALSE,F,FALSE,40,2
-64,300,2021-05-07,FALSE,M,FALSE,40,1
-64,205,2021-05-07,FALSE,M,FALSE,40,2
65-,283,2021-05-07,FALSE,M,FALSE,40,1
65-,52,2021-05-07,FALSE,M,FALSE,40,2
UNK,208,2021-05-07,TRUE,U,FALSE,40,1
UNK,12,2021-05-07,TRUE,U,FALSE,40,2
-64,635,2021-05-08,FALSE,F,FALSE,40,1
-64,149,2021-05-08,FALSE,F,FALSE,40,2
65-,1814,2021-05-08,FALSE,F,FALSE,40,1
65-,19,2021-05-08,FALSE,F,FALSE,40,2
-64,204,2021-05-08,FALSE,M,FALSE,40,1
-64,53,2021-05-08,FALSE,M,FALSE,40,2
65-,1225,2021-05-08,FALSE,M,FALSE,40,1
65-,13,2021-05-08,FALSE,M,FALSE,40,2
UNK,248,2021-05-08,TRUE,U,FALSE,40,1
UNK,1,2021-05-08,TRUE,U,FALSE,40,2
-64,49,2021-05-09,FALSE,F,FALSE,40,1
-64,9,2021-05-09,FALSE,F,FALSE,40,2
65-,1362,2021-05-09,FALSE,F,FALSE,40,1
65-,6,2021-05-09,FALSE,F,FALSE,40,2
-64,16,2021-05-09,FALSE,M,FALSE,40,1
-64,12,2021-05-09,FALSE,M,FALSE,40,2
65-,1139,2021-05-09,FALSE,M,FALSE,40,1
65-,9,2021-05-09,FALSE,M,FALSE,40,2
UNK,144,2021-05-09,TRUE,U,FALSE,40,1
-64,1297,2021-05-10,FALSE,F,FALSE,40,1
-64,397,2021-05-10,FALSE,F,FALSE,40,2
65-,1184,2021-05-10,FALSE,F,FALSE,40,1
65-,285,2021-05-10,FALSE,F,FALSE,40,2
-64,574,2021-05-10,FALSE,M,FALSE,40,1
-64,170,2021-05-10,FALSE,M,FALSE,40,2
65-,679,2021-05-10,FALSE,M,FALSE,40,1
65-,214,2021-05-10,FALSE,M,FALSE,40,2
UNK,398,2021-05-10,TRUE,U,FALSE,40,1
UNK,35,2021-05-10,TRUE,U,FALSE,40,2
-64,2038,2021-05-11,FALSE,F,FALSE,40,1
-64,573,2021-05-11,FALSE,F,FALSE,40,2
65-,1489,2021-05-11,FALSE,F,FALSE,40,1
65-,431,2021-05-11,FALSE,F,FALSE,40,2
-64,719,2021-05-11,FALSE,M,FALSE,40,1
-64,264,2021-05-11,FALSE,M,FALSE,40,2
65-,790,2021-05-11,FALSE,M,FALSE,40,1
65-,294,2021-05-11,FALSE,M,FALSE,40,2
UNK,433,2021-05-11,TRUE,U,FALSE,40,1
UNK,76,2021-05-11,TRUE,U,FALSE,40,2
-64,1877,2021-05-12,FALSE,F,FALSE,40,1
-64,574,2021-05-12,FALSE,F,FALSE,40,2
65-,5725,2021-05-12,FALSE,F,FALSE,40,1
65-,395,2021-05-12,FALSE,F,FALSE,40,2
-64,733,2021-05-12,FALSE,M,FALSE,40,1
-64,214,2021-05-12,FALSE,M,FALSE,40,2
65-,3935,2021-05-12,FALSE,M,FALSE,40,1
65-,248,2021-05-12,FALSE,M,FALSE,40,2
UNK,687,2021-05-12,TRUE,U,FALSE,40,1
UNK,70,2021-05-12,TRUE,U,FALSE,40,2
-64,1743,2021-05-13,FALSE,F,FALSE,40,1
-64,802,2021-05-13,FALSE,F,FALSE,40,2
65-,6032,2021-05-13,FALSE,F,FALSE,40,1
65-,348,2021-05-13,FALSE,F,FALSE,40,2
-64,668,2021-05-13,FALSE,M,FALSE,40,1
-64,475,2021-05-13,FALSE,M,FALSE,40,2
65-,3902,2021-05-13,FALSE,M,FALSE,40,1
65-,219,2021-05-13,FALSE,M,FALSE,40,2
-64,41,2021-05-13,FALSE,U,FALSE,40,1
UNK,788,2021-05-13,TRUE,U,FALSE,40,1
UNK,105,2021-05-13,TRUE,U,FALSE,40,2
-64,1691,2021-05-14,FALSE,F,FALSE,40,1
-64,1121,2021-05-14,FALSE,F,FALSE,40,2
65-,1132,2021-05-14,FALSE,F,FALSE,40,1
65-,382,2021-05-14,FALSE,F,FALSE,40,2
-64,636,2021-05-14,FALSE,M,FALSE,40,1
-64,516,2021-05-14,FALSE,M,FALSE,40,2
65-,674,2021-05-14,FALSE,M,FALSE,40,1
65-,255,2021-05-14,FALSE,M,FALSE,40,2
-64,53,2021-05-14,FALSE,U,FALSE,40,1
UNK,256,2021-05-14,TRUE,U,FALSE,40,1
UNK,96,2021-05-14,TRUE,U,FALSE,40,2
-64,873,2021-05-15,FALSE,F,FALSE,40,1
-64,578,2021-05-15,FALSE,F,FALSE,40,2
65-,5845,2021-05-15,FALSE,F,FALSE,40,1
65-,328,2021-05-15,FALSE,F,FALSE,40,2
-64,229,2021-05-15,FALSE,M,FALSE,40,1
-64,345,2021-05-15,FALSE,M,FALSE,40,2
65-,3921,2021-05-15,FALSE,M,FALSE,40,1
65-,190,2021-05-15,FALSE,M,FALSE,40,2
-64,54,2021-05-15,FALSE,U,FALSE,40,1
-64,1,2021-05-15,FALSE,U,FALSE,40,2
65-,3,2021-05-15,FALSE,U,FALSE,40,1
UNK,508,2021-05-15,TRUE,U,FALSE,40,1
UNK,26,2021-05-15,TRUE,U,FALSE,40,2
-64,195,2021-05-16,FALSE,F,FALSE,40,1
-64,156,2021-05-16,FALSE,F,FALSE,40,2
65-,10106,2021-05-16,FALSE,F,FALSE,40,1
65-,260,2021-05-16,FALSE,F,FALSE,40,2
-64,62,2021-05-16,FALSE,M,FALSE,40,1
-64,148,2021-05-16,FALSE,M,FALSE,40,2
65-,6394,2021-05-16,FALSE,M,FALSE,40,1
65-,103,2021-05-16,FALSE,M,FALSE,40,2
-64,44,2021-05-16,FALSE,U,FALSE,40,1
UNK,896,2021-05-16,TRUE,U,FALSE,40,1
UNK,2,2021-05-16,TRUE,U,FALSE,40,2
-64,1328,2021-05-17,FALSE,F,FALSE,40,1
-64,1339,2021-05-17,FALSE,F,FALSE,40,2
65-,2334,2021-05-17,FALSE,F,FALSE,40,1
65-,515,2021-05-17,FALSE,F,FALSE,40,2
-64,479,2021-05-17,FALSE,M,FALSE,40,1
-64,594,2021-05-17,FALSE,M,FALSE,40,2
65-,1258,2021-05-17,FALSE,M,FALSE,40,1
65-,281,2021-05-17,FALSE,M,FALSE,40,2
-64,47,2021-05-17,FALSE,U,FALSE,40,1
65-,3,2021-05-17,FALSE,U,FALSE,40,1
UNK,600,2021-05-17,TRUE,U,FALSE,40,1
UNK,243,2021-05-17,TRUE,U,FALSE,40,2
-64,2157,2021-05-18,FALSE,F,FALSE,40,1
-64,2001,2021-05-18,FALSE,F,FALSE,40,2
65-,3212,2021-05-18,FALSE,F,FALSE,40,1
65-,500,2021-05-18,FALSE,F,FALSE,40,2
-64,744,2021-05-18,FALSE,M,FALSE,40,1
-64,772,2021-05-18,FALSE,M,FALSE,40,2
65-,2043,2021-05-18,FALSE,M,FALSE,40,1
65-,299,2021-05-18,FALSE,M,FALSE,40,2
-64,43,2021-05-18,FALSE,U,FALSE,40,1
65-,2,2021-05-18,FALSE,U,FALSE,40,1
UNK,829,2021-05-18,TRUE,U,FALSE,40,1
UNK,199,2021-05-18,TRUE,U,FALSE,40,2
-64,2483,2021-05-19,FALSE,F,FALSE,40,1
-64,2134,2021-05-19,FALSE,F,FALSE,40,2
65-,10251,2021-05-19,FALSE,F,FALSE,40,1
65-,587,2021-05-19,FALSE,F,FALSE,40,2
-64,720,2021-05-19,FALSE,M,FALSE,40,1
-64,694,2021-05-19,FALSE,M,FALSE,40,2
65-,6865,2021-05-19,FALSE,M,FALSE,40,1
65-,360,2021-05-19,FALSE,M,FALSE,40,2
-64,3,2021-05-19,FALSE,U,FALSE,40,1
65-,5,2021-05-19,FALSE,U,FALSE,40,1
UNK,1202,2021-05-19,TRUE,U,FALSE,40,1
UNK,114,2021-05-19,TRUE,U,FALSE,40,2
-64,2670,2021-05-20,FALSE,F,FALSE,40,1
-64,856,2021-05-20,FALSE,F,FALSE,40,2
65-,10952,2021-05-20,FALSE,F,FALSE,40,1
65-,170,2021-05-20,FALSE,F,FALSE,40,2
-64,798,2021-05-20,FALSE,M,FALSE,40,1
-64,298,2021-05-20,FALSE,M,FALSE,40,2
65-,7000,2021-05-20,FALSE,M,FALSE,40,1
65-,79,2021-05-20,FALSE,M,FALSE,40,2
-64,3,2021-05-20,FALSE,U,FALSE,40,1
65-,3,2021-05-20,FALSE,U,FALSE,40,1
UNK,1381,2021-05-20,TRUE,U,FALSE,40,1
UNK,69,2021-05-20,TRUE,U,FALSE,40,2
-64,2396,2021-05-21,FALSE,F,FALSE,40,1
-64,2141,2021-05-21,FALSE,F,FALSE,40,2
65-,4360,2021-05-21,FALSE,F,FALSE,40,1
65-,303,2021-05-21,FALSE,F,FALSE,40,2
-64,779,2021-05-21,FALSE,M,FALSE,40,1
-64,744,2021-05-21,FALSE,M,FALSE,40,2
65-,2751,2021-05-21,FALSE,M,FALSE,40,1
65-,225,2021-05-21,FALSE,M,FALSE,40,2
-64,4,2021-05-21,FALSE,U,FALSE,40,1
65-,1,2021-05-21,FALSE,U,FALSE,40,1
UNK,867,2021-05-21,TRUE,U,FALSE,40,1
UNK,113,2021-05-21,TRUE,U,FALSE,40,2
-64,1299,2021-05-22,FALSE,F,FALSE,40,1
-64,635,2021-05-22,FALSE,F,FALSE,40,2
65-,8873,2021-05-22,FALSE,F,FALSE,40,1
65-,195,2021-05-22,FALSE,F,FALSE,40,2
-64,375,2021-05-22,FALSE,M,FALSE,40,1
-64,248,2021-05-22,FALSE,M,FALSE,40,2
65-,5757,2021-05-22,FALSE,M,FALSE,40,1
65-,86,2021-05-22,FALSE,M,FALSE,40,2
-64,1,2021-05-22,FALSE,U,FALSE,40,1
65-,4,2021-05-22,FALSE,U,FALSE,40,1
UNK,829,2021-05-22,TRUE,U,FALSE,40,1
UNK,33,2021-05-22,TRUE,U,FALSE,40,2
-64,257,2021-05-23,FALSE,F,FALSE,40,1
-64,63,2021-05-23,FALSE,F,FALSE,40,2
65-,13734,2021-05-23,FALSE,F,FALSE,40,1
65-,301,2021-05-23,FALSE,F,FALSE,40,2
-64,110,2021-05-23,FALSE,M,FALSE,40,1
-64,37,2021-05-23,FALSE,M,FALSE,40,2
65-,8902,2021-05-23,FALSE,M,FALSE,40,1
65-,161,2021-05-23,FALSE,M,FALSE,40,2
-64,1,2021-05-23,FALSE,U,FALSE,40,1
65-,2,2021-05-23,FALSE,U,FALSE,40,1
UNK,1391,2021-05-23,TRUE,U,FALSE,40,1
UNK,69,2021-05-23,TRUE,U,FALSE,40,2
-64,1421,2021-05-24,FALSE,F,FALSE,40,1
-64,160,2021-05-24,FALSE,F,FALSE,40,2
65-,9834,2021-05-24,FALSE,F,FALSE,40,1
65-,88,2021-05-24,FALSE,F,FALSE,40,2
-64,484,2021-05-24,FALSE,M,FALSE,40,1
-64,84,2021-05-24,FALSE,M,FALSE,40,2
65-,6572,2021-05-24,FALSE,M,FALSE,40,1
65-,53,2021-05-24,FALSE,M,FALSE,40,2
-64,20,2021-05-24,FALSE,U,FALSE,40,1
65-,113,2021-05-24,FALSE,U,FALSE,40,1
UNK,1302,2021-05-24,TRUE,U,FALSE,40,1
UNK,30,2021-05-24,TRUE,U,FALSE,40,2
-64,1899,2021-05-25,FALSE,F,FALSE,40,1
-64,138,2021-05-25,FALSE,F,FALSE,40,2
65-,11200,2021-05-25,FALSE,F,FALSE,40,1
65-,98,2021-05-25,FALSE,F,FALSE,40,2
-64,688,2021-05-25,FALSE,M,FALSE,40,1
-64,46,2021-05-25,FALSE,M,FALSE,40,2
65-,6976,2021-05-25,FALSE,M,FALSE,40,1
65-,75,2021-05-25,FALSE,M,FALSE,40,2
-64,50,2021-05-25,FALSE,U,FALSE,40,1
-64,1,2021-05-25,FALSE,U,FALSE,40,2
65-,77,2021-05-25,FALSE,U,FALSE,40,1
65-,1,2021-05-25,FALSE,U,FALSE,40,2
UNK,1702,2021-05-25,TRUE,U,FALSE,40,1
UNK,41,2021-05-25,TRUE,U,FALSE,40,2
-64,1891,2021-05-26,FALSE,F,FALSE,40,1
-64,161,2021-05-26,FALSE,F,FALSE,40,2
65-,15747,2021-05-26,FALSE,F,FALSE,40,1
65-,198,2021-05-26,FALSE,F,FALSE,40,2
-64,754,2021-05-26,FALSE,M,FALSE,40,1
-64,54,2021-05-26,FALSE,M,FALSE,40,2
65-,9998,2021-05-26,FALSE,M,FALSE,40,1
65-,59,2021-05-26,FALSE,M,FALSE,40,2
-64,55,2021-05-26,FALSE,U,FALSE,40,1
65-,98,2021-05-26,FALSE,U,FALSE,40,1
65-,2,2021-05-26,FALSE,U,FALSE,40,2
UNK,2085,2021-05-26,TRUE,U,FALSE,40,1
UNK,94,2021-05-26,TRUE,U,FALSE,40,2
-64,1989,2021-05-27,FALSE,F,FALSE,40,1
-64,319,2021-05-27,FALSE,F,FALSE,40,2
65-,16455,2021-05-27,FALSE,F,FALSE,40,1
65-,681,2021-05-27,FALSE,F,FALSE,40,2
-64,739,2021-05-27,FALSE,M,FALSE,40,1
-64,101,2021-05-27,FALSE,M,FALSE,40,2
65-,10634,2021-05-27,FALSE,M,FALSE,40,1
65-,417,2021-05-27,FALSE,M,FALSE,40,2
-64,29,2021-05-27,FALSE,U,FALSE,40,1
65-,80,2021-05-27,FALSE,U,FALSE,40,1
UNK,2052,2021-05-27,TRUE,U,FALSE,40,1
UNK,249,2021-05-27,TRUE,U,FALSE,40,2
-64,1887,2021-05-28,FALSE,F,FALSE,40,1
-64,871,2021-05-28,FALSE,F,FALSE,40,2
65-,10871,2021-05-28,FALSE,F,FALSE,40,1
65-,546,2021-05-28,FALSE,F,FALSE,40,2
-64,671,2021-05-28,FALSE,M,FALSE,40,1
-64,316,2021-05-28,FALSE,M,FALSE,40,2
65-,6817,2021-05-28,FALSE,M,FALSE,40,1
65-,288,2021-05-28,FALSE,M,FALSE,40,2
